dataset,graph_id,source_index,split,n_nodes,n_edges,graph_hash_sha256,source_loader,source_name,source_ego_id
twitter,twitter_graph000012,12,train,116,662,fb31b57438a489ed942b2cb99d1d39705922d403f0f68eb42ad16b7b88a7809c,snap_twitter_tar_parser,ego-Twitter,759679.0
twitter,twitter_graph000013,13,train,188,2361,a1984af3d93c837385255b5c584b74eb906a9d35ede51fa1596412d5bb034c31,snap_twitter_tar_parser,ego-Twitter,778446.0
twitter,twitter_graph000014,14,train,184,2747,f49ba130bfad663cf3cd98d5ef239f7383cabce2390c2b3a709564e1a142846e,snap_twitter_tar_parser,ego-Twitter,779715.0
twitter,twitter_graph000015,15,train,139,972,b27becbd8b82227775388499a2996990bfeaf1e5c53e110ea2b6b680cefe021f,snap_twitter_tar_parser,ego-Twitter,789071.0
twitter,twitter_graph000016,16,train,217,4082,628d72c9b911550f5cb1b866e8119791c6e387e3bfa62f7dc49a9263aaeb14bb,snap_twitter_tar_parser,ego-Twitter,790205.0
twitter,twitter_graph000017,17,train,236,2847,4a331ee2ed31bf1830792f6f2802cfa524759e039ec055442c22b0f82687cc8c,snap_twitter_tar_parser,ego-Twitter,809864.0
twitter,twitter_graph000018,18,train,92,1708,9f805f31f74d18346815fb5ae25515229c6dc6cabeef1e2a3d4ca73e65775e23,snap_twitter_tar_parser,ego-Twitter,819800.0
twitter,twitter_graph000019,19,train,203,3876,614571e308d281f6bd748f3a9b695c6253cbcbc3ea6e6e5be3ab3e60d4a8599d,snap_twitter_tar_parser,ego-Twitter,926981.0
twitter,twitter_graph000020,20,train,129,1183,324e7135e6b4d2365be33ade0bce1d274661f4d0c2376da67996c1b8abd166c5,snap_twitter_tar_parser,ego-Twitter,1046661.0
twitter,twitter_graph000021,21,train,56,665,ad5491dfb5475a14dead72d251ca84acaf3a199e033967ebf5d19b6c82de5883,snap_twitter_tar_parser,ego-Twitter,1239671.0
twitter,twitter_graph000022,22,train,237,3445,a3941e66d72c232d119eb1730771561eb082494f35759f92a8f86990f8aa8302,snap_twitter_tar_parser,ego-Twitter,1271901.0
twitter,twitter_graph000023,23,train,240,6920,463e048696a29ce97e348bbedd31bb166890bdf4206b056e1b03a79842fd40a7,snap_twitter_tar_parser,ego-Twitter,1367531.0
twitter,twitter_graph000024,24,train,224,3473,5dcd78cbe00601bfcd4f845dc04d582bd8023725d7ce70ba4ec8973bd429729a,snap_twitter_tar_parser,ego-Twitter,1422311.0
twitter,twitter_graph000025,25,train,130,5986,b698aa8fdd175d96f04c7f1be13ae9e971958f2c92d61986c4ae1f6a26e19cb4,snap_twitter_tar_parser,ego-Twitter,1435461.0
twitter,twitter_graph000026,26,train,180,2338,1c16045847c25c1b576db385270de406d3e652f4af5e3c34d06b45a2f650d45d,snap_twitter_tar_parser,ego-Twitter,1548841.0
twitter,twitter_graph000027,27,train,193,3704,803e7dc8ef96ebbe6328a02a7a3dbc92d0d78c020b73f90fc398216026849cb6,snap_twitter_tar_parser,ego-Twitter,1608991.0
twitter,twitter_graph000028,28,train,47,469,e88525a4c9ee26227ec80af03c90f04394174e2d3aa27c473dfd1ef593bee5ce,snap_twitter_tar_parser,ego-Twitter,1775731.0
twitter,twitter_graph000029,29,train,144,2079,09b2ffed07d26aa6566cbdc01563ba8da8119b0bf33516aa99d1920442901088,snap_twitter_tar_parser,ego-Twitter,2029971.0
twitter,twitter_graph000030,30,train,231,7566,95c296afbdf4c47ed801fa14a3f4a79b8230491ddae3a0911b3d9981095bb0c1,snap_twitter_tar_parser,ego-Twitter,2097571.0
twitter,twitter_graph000031,31,train,68,414,81a1529c900d78e0941e05a1f25f5e2d62e2d34122fdf6de27ace20699717221,snap_twitter_tar_parser,ego-Twitter,2257971.0
twitter,twitter_graph000032,32,train,215,3644,143c86aef19804c63aea553c0a23758f8ff31a1c6c464ca183d07bd030f91be4,snap_twitter_tar_parser,ego-Twitter,2363991.0
twitter,twitter_graph000033,33,train,209,1078,06c186aab0d83bfdcf42fe4f79e6681d4db98dc7a9f1bf9c15a8c107609afead,snap_twitter_tar_parser,ego-Twitter,2576401.0
twitter,twitter_graph000034,34,train,173,2586,a6a47b761176124cc2b8aec2a6eb009cf81253631015b47d093d2da653123e6a,snap_twitter_tar_parser,ego-Twitter,2589521.0
twitter,twitter_graph000035,35,train,128,1007,d98267211426522779a25e12202d592b57cfd92993de0d3e3128ab210eaa04ed,snap_twitter_tar_parser,ego-Twitter,2841151.0
twitter,twitter_graph000036,36,train,54,395,388a5b525a98bf2dacf9197a3ee9867d5f916a01154a1ddb2621769237b287d0,snap_twitter_tar_parser,ego-Twitter,2890961.0
twitter,twitter_graph000037,37,train,196,1869,bc7713832f30683f302bc9f7a289f5ecefc58b5c41d5080db7e4a5a2d0c7e7d9,snap_twitter_tar_parser,ego-Twitter,3245291.0
twitter,twitter_graph000038,38,train,148,2719,6da178f77c891818ed49a0cbcf51a78295029ece0993227191ef8e7cafd512d7,snap_twitter_tar_parser,ego-Twitter,3253671.0
twitter,twitter_graph000039,39,train,62,267,d2f8644a133832603095a3671d554df799be57ce1fa325c8cb5cec1a897d12a5,snap_twitter_tar_parser,ego-Twitter,3338681.0
twitter,twitter_graph000040,40,train,107,732,ed137ca4d31bfef411414e2644819f8d034940fd54145323c6d5d9af7112e9e1,snap_twitter_tar_parser,ego-Twitter,4258591.0
twitter,twitter_graph000041,41,train,108,551,3ab7a921296c2ddf28f1446528468784a52999c9e249801d5b366702cc1f2381,snap_twitter_tar_parser,ego-Twitter,4387041.0
twitter,twitter_graph000042,42,train,181,1671,7bc82600eca28e969ad9814dedff5ea2872a3c9e97bdc11d1835e7b716265d9f,snap_twitter_tar_parser,ego-Twitter,5471892.0
twitter,twitter_graph000043,43,train,88,626,ae9a25703178396fc8b2dff3cecd43cf7bfd3405e20eef1a15cd2b9980688dfd,snap_twitter_tar_parser,ego-Twitter,5506012.0
twitter,twitter_graph000044,44,train,201,1960,0c463379f81368a79a7c9add1aa22178c1700d5f202d3379fb59ce381dfa50c2,snap_twitter_tar_parser,ego-Twitter,5539522.0
twitter,twitter_graph000045,45,train,65,613,daac6a58a0e71f0bace719d4748709959a946c9e615bd1f9328c50a25bb7c644,snap_twitter_tar_parser,ego-Twitter,5747502.0
twitter,twitter_graph000046,46,train,102,942,c7b647d7885cd42061c75334c61fbb1d39ab87f1fcf903ff616deae8f1db8c7e,snap_twitter_tar_parser,ego-Twitter,5773532.0
twitter,twitter_graph000047,47,train,130,2315,1e01a6e84d718755d78a7c7add51e53b4a497342c88329979fcdc50f59b3e18e,snap_twitter_tar_parser,ego-Twitter,5774432.0
twitter,twitter_graph000048,48,train,94,1465,fd453261c0e535ddd1060faf9ca1aa683169c314ec1c8af1faf2731a504db032,snap_twitter_tar_parser,ego-Twitter,5868402.0
twitter,twitter_graph000049,49,train,97,463,b224d1228c6b40d92db1a19332086e7a8f38640709f1ca39805f587a66649a2c,snap_twitter_tar_parser,ego-Twitter,6018292.0
twitter,twitter_graph000050,50,train,206,1877,c0acccbf919b5a2f3b2697b050a3a3a44e7fa00ebe69a1535dfb00acbac3528c,snap_twitter_tar_parser,ego-Twitter,6165372.0
twitter,twitter_graph000051,51,train,30,336,71b0027ecd2d9a432d3ff6100cdb68eca927dd2da2f75a34ca62a1ae4226ff19,snap_twitter_tar_parser,ego-Twitter,6253282.0
twitter,twitter_graph000052,52,train,206,2593,a92d7781a45f3c08149538ed4797fc74d38d8e93bbab90f0198f25a895c00fcc,snap_twitter_tar_parser,ego-Twitter,6297852.0
twitter,twitter_graph000053,53,train,199,2408,acb11bfb5cd37b757eb39fbf723e68b4e58b15926a5e002bd4a31d9f4ffc68bc,snap_twitter_tar_parser,ego-Twitter,6351572.0
twitter,twitter_graph000054,54,train,152,2503,aef8d33befebe3f2882b0e39dcae1a5467265e2609e51de6ba112ca5ade41b78,snap_twitter_tar_parser,ego-Twitter,6408382.0
twitter,twitter_graph000055,55,train,41,110,ec085a51e5ca267967e386a4d9e31633c410141882d62852e457ed4256b676d5,snap_twitter_tar_parser,ego-Twitter,6650612.0
twitter,twitter_graph000056,56,train,98,688,31e191d1d9af8db0130e9885b53ffa418d7b44600ddc938fdb6477e1fcfa1dcc,snap_twitter_tar_parser,ego-Twitter,7098022.0
twitter,twitter_graph000057,57,train,19,97,1f5ad66fc20a02006fa557a5b20d009bc2fad29f49a0952f691b99850f82ba54,snap_twitter_tar_parser,ego-Twitter,7144422.0
twitter,twitter_graph000058,58,train,35,425,5d22fe715704d06315afe510148dcbc1c781415f266ed0b4e90cf6d0bdfc6bc0,snap_twitter_tar_parser,ego-Twitter,7424642.0
twitter,twitter_graph000059,59,train,145,3965,6def1cd4a876a28e140185ef883acda84e931155a6d2c6e1b278bea33e3b4db3,snap_twitter_tar_parser,ego-Twitter,7517222.0
twitter,twitter_graph000060,60,train,245,2966,f420df778edaad67941287cc951bab797a9002d3a5f0e773f5aa750c6ec40491,snap_twitter_tar_parser,ego-Twitter,7668362.0
twitter,twitter_graph000061,61,train,99,1416,13534ebc1f37d47796df3420d788cdf352ac5c6bc609e72e208d275e37c08f56,snap_twitter_tar_parser,ego-Twitter,7670202.0
twitter,twitter_graph000062,62,train,221,4252,13e08b5210d8805b9b2a7bfec08fd649d3bf9d13ce5da6d0166aa710c0117d9c,snap_twitter_tar_parser,ego-Twitter,7682452.0
twitter,twitter_graph000063,63,train,221,3663,6b5718de11c5e2e7ebf5c581d2b81b81789aa519b4983fb140dbbfd26f680434,snap_twitter_tar_parser,ego-Twitter,7861312.0
twitter,twitter_graph000064,64,train,178,3985,2407162efedde7049a9cff5cf26d05c811822b2a007671716f52662ce115308e,snap_twitter_tar_parser,ego-Twitter,7875912.0
twitter,twitter_graph000065,65,train,121,1054,c30dc1d7f1a7765d8dc476739e17ed2e4f6dbeb9cd671ca1078e4a911f88dd39,snap_twitter_tar_parser,ego-Twitter,7888452.0
twitter,twitter_graph000066,66,train,239,3344,90da76bed11c5670d4b589b1cbb583e179feee43a3747df8d2d47c9899b6efe1,snap_twitter_tar_parser,ego-Twitter,7890392.0
twitter,twitter_graph000067,67,train,141,2251,bf2b4d2fd68a6c98bf34044b93d2e8765818938891cdffa1f1b447a6112d1df4,snap_twitter_tar_parser,ego-Twitter,8079892.0
twitter,twitter_graph000068,68,train,130,750,7b35cce38c5bc11216465fe55f79a8e2794e5c5d3201448998c9868496356503,snap_twitter_tar_parser,ego-Twitter,8768832.0
twitter,twitter_graph000069,69,train,237,4357,7ce1b2ff4a7a52e1cf8ca37da421cddccd5ea05a594cc9dd71d6457248bc2c84,snap_twitter_tar_parser,ego-Twitter,8914942.0
twitter,twitter_graph000070,70,train,227,1950,6a95ec800b370281abfe5870aac93934705ef85ce32114dc386a18138b0d4416,snap_twitter_tar_parser,ego-Twitter,9215692.0
twitter,twitter_graph000071,71,train,156,1485,4113535e5b4933da65af7d51740292f3131e432fcb3bd1b6ca3a6e1a7cc5206b,snap_twitter_tar_parser,ego-Twitter,9254272.0
twitter,twitter_graph000072,72,train,183,1829,9901ad4997074438ad68834a3d92fa5b7ff796ea8e735c129fb0b7cc2f796adf,snap_twitter_tar_parser,ego-Twitter,9298152.0
twitter,twitter_graph000073,73,train,89,1520,355445bcbaf4d77a6efa8c2e1240880ae8aafd113a1c2c35afca5c41faa43dbb,snap_twitter_tar_parser,ego-Twitter,9460682.0
twitter,twitter_graph000074,74,train,144,2347,30534ca66197e3eb24e81d4ecea3b54f23b517f56c6402f09005515dc816e35f,snap_twitter_tar_parser,ego-Twitter,9524062.0
twitter,twitter_graph000075,75,train,16,65,e486c2dc24c25464168cc19d5102aa9c05d97479a6ee029c7b45133abbea63b6,snap_twitter_tar_parser,ego-Twitter,9855382.0
twitter,twitter_graph000076,76,train,96,733,54309005f288e4925c324e150ed3b2c70052880038a50ea3312cb9cc137a5ab2,snap_twitter_tar_parser,ego-Twitter,10146102.0
twitter,twitter_graph000077,77,train,171,1610,fad3734e92c9e0319d872b17a7247478709bc00ee54eeaf77bfc9618578753ab,snap_twitter_tar_parser,ego-Twitter,10798802.0
twitter,twitter_graph000078,78,train,166,900,92e051df3bd93e6f4963a4a32c29fba9c234440902ed496625e9a7ccfee98113,snap_twitter_tar_parser,ego-Twitter,10985532.0
twitter,twitter_graph000079,79,train,184,2711,b467e9283629243386574eb58527980c64ee2122e8a1a021efb2bcfd7f448bf5,snap_twitter_tar_parser,ego-Twitter,11027262.0
twitter,twitter_graph000080,80,train,119,1118,d530fc56f5a7de1a8750bef6a6b5b4b35c28df6594411d90346e4c8735c1fd89,snap_twitter_tar_parser,ego-Twitter,11136132.0
twitter,twitter_graph000081,81,train,172,4328,74f52ad024f1723c034d1d19bb7fb1ac48749a87c9cdb0d5bc1acaacff847d6f,snap_twitter_tar_parser,ego-Twitter,11348282.0
twitter,twitter_graph000082,82,train,129,3068,f00db0e1f2ee63600987598d487baf3ca675217e6dbfe937d1599cbd19d93f8f,snap_twitter_tar_parser,ego-Twitter,11348722.0
twitter,twitter_graph000083,83,train,124,841,1a8ed701336941762ef6522b2b23f90c3eb4db33f80933e0550b9835d5ecb8ae,snap_twitter_tar_parser,ego-Twitter,11681802.0
twitter,twitter_graph000084,84,train,85,547,f80b863a964cb7f4f2f10498b4082030ece67f9af2b79939769fbc983db79fe2,snap_twitter_tar_parser,ego-Twitter,11784842.0
twitter,twitter_graph000085,85,train,76,1459,a5bec463ec12410a3da243a7ff4add1361e5fc5407bbe8cdc48e01553d2aea61,snap_twitter_tar_parser,ego-Twitter,11828432.0
twitter,twitter_graph000086,86,train,33,235,91aca4a1d8bda993d9a4221bc22b45c41a9825abcc2025365f5114c677f423d6,snap_twitter_tar_parser,ego-Twitter,11928542.0
twitter,twitter_graph000087,87,train,216,3403,1c2d4974ea29c6682b59900aebca3a2e61fcc5905cc53dc065cbbefc38456fee,snap_twitter_tar_parser,ego-Twitter,12069912.0
twitter,twitter_graph000088,88,train,140,1293,d4025a75feaadffc8e5c08d22ddcae426e0ed530b003929c614c678609420b2d,snap_twitter_tar_parser,ego-Twitter,12152402.0
twitter,twitter_graph000089,89,train,113,1689,424d27b25ab762f3f6fdc0069ef3316a0aecfb2a2ea55710bebae0c162afe97d,snap_twitter_tar_parser,ego-Twitter,12415722.0
twitter,twitter_graph000090,90,train,136,1214,6879641d1566d63e8c8a43c01611b3416a0ea4c2010bc467c9f96cc41ab773cf,snap_twitter_tar_parser,ego-Twitter,12570812.0
twitter,twitter_graph000091,91,train,131,1420,9caef6ed063243edd7772d2c728095eaafba8e054caa2ec78997c5845ab4e1a8,snap_twitter_tar_parser,ego-Twitter,12771872.0
twitter,twitter_graph000092,92,train,217,2759,91e64901ba3e69dae093a001cd8247075b44e1878278c6d6784b0dfcb6691c31,snap_twitter_tar_parser,ego-Twitter,13179562.0
twitter,twitter_graph000093,93,train,171,1891,0455b4cca9400cd73e66b62cc729121926b3a85af3bff8271ad1712f5bcc0cc3,snap_twitter_tar_parser,ego-Twitter,13212502.0
twitter,twitter_graph000094,94,train,211,1115,ad31b4e6129ab86f6666bc6e54f65c92f0fa56ecaa34cf28bc9e473bcd6136c8,snap_twitter_tar_parser,ego-Twitter,13274152.0
twitter,twitter_graph000095,95,train,144,2589,dfdd7804d087686c6ce611a116d5929730ee68d7712e42dca53259b318186113,snap_twitter_tar_parser,ego-Twitter,13275962.0
twitter,twitter_graph000096,96,train,168,1894,a731becf256e1d9dc422c3d790c54b5923d36d7519c23340b8ba6caf9ebce049,snap_twitter_tar_parser,ego-Twitter,13317162.0
twitter,twitter_graph000097,97,train,58,479,c1d72aff82fd1aaf0b8728b91386616090ed328342683ba8035cec2e376704d5,snap_twitter_tar_parser,ego-Twitter,13460312.0
twitter,twitter_graph000098,98,train,174,1919,28534cb252612a9e937ce4417c2af770c83c877af28593fdcd7c238dddfd1d9d,snap_twitter_tar_parser,ego-Twitter,13649212.0
twitter,twitter_graph000099,99,train,73,516,75122ece25434d4cb59e7a316a64d6111164e392ef479e9ffbe7af60dddc272c,snap_twitter_tar_parser,ego-Twitter,13747362.0
twitter,twitter_graph000100,100,train,213,2645,5c1f08386f30942848f4bcc8286696e6d488ce9ea4a94c053b9d2987b2e525d3,snap_twitter_tar_parser,ego-Twitter,13809612.0
twitter,twitter_graph000101,101,train,212,5494,c59b28d7d4b5ad25f5f820b256b766702d0e31f99c25257c879925cb6ede8109,snap_twitter_tar_parser,ego-Twitter,13811562.0
twitter,twitter_graph000102,102,train,165,4121,00598ca9dac998abb2f54a96c3fcacceadd881c0a42d0665b9d36dae8861c468,snap_twitter_tar_parser,ego-Twitter,13837812.0
twitter,twitter_graph000103,103,train,151,2701,273223585f7df1c640ae7096d551d4be8f07b7d1ddb59b271c2f4ce049cf9064,snap_twitter_tar_parser,ego-Twitter,13872872.0
twitter,twitter_graph000104,104,train,143,1625,0007c9adf3f81977e4a12f8f6a7d091d86f433fa391c1823e5b575005dc309a3,snap_twitter_tar_parser,ego-Twitter,14045302.0
twitter,twitter_graph000105,105,train,205,1930,696edbbc0e401cc7575c1213cfd37f057e54314207d180c3fde53ff8a55d5833,snap_twitter_tar_parser,ego-Twitter,14058831.0
twitter,twitter_graph000106,106,train,187,1950,3603c0e46ef6a23a7974654006cc162e4b549f37eedadb93a3b6d463339311c7,snap_twitter_tar_parser,ego-Twitter,14060856.0
twitter,twitter_graph000107,107,train,226,3510,27e5201ee837424f2cd7c77126eb00f79fab00a2a8547cad71a76559f3255652,snap_twitter_tar_parser,ego-Twitter,14077024.0
twitter,twitter_graph000108,108,train,113,2893,9755d4526201062c6ad1192c84c3ccf285e2d310cff81ace7b2e587ad5c43282,snap_twitter_tar_parser,ego-Twitter,14120151.0
twitter,twitter_graph000109,109,train,142,900,89e1845344c6c7c19817e41165408246a246094ae3823300dbab23ed2f5336c9,snap_twitter_tar_parser,ego-Twitter,14120253.0
twitter,twitter_graph000110,110,train,181,1003,a16875b518505ca42baefad47003e561f1bd5720f343675baeaaa30f278e63ff,snap_twitter_tar_parser,ego-Twitter,14129601.0
twitter,twitter_graph000111,111,train,241,3741,36ede7f68042c75f2f40189b14e2be2dfe601c10883a0368327aa55f8c74290c,snap_twitter_tar_parser,ego-Twitter,14134942.0
twitter,twitter_graph000112,112,train,70,746,747d0f690a1592385c281cdec28537a0477fce6f1ba2c61f66e0f0cece80385f,snap_twitter_tar_parser,ego-Twitter,14147754.0
twitter,twitter_graph000113,113,train,48,219,3396ccf88b52a922ed236a8abb0f1109826e413186adfd772870191329269ebe,snap_twitter_tar_parser,ego-Twitter,14150874.0
twitter,twitter_graph000114,114,train,135,1272,706431998ab9ae07b9498980d86ffda9513661b1c0c204bdbb5bd23c91599ee6,snap_twitter_tar_parser,ego-Twitter,14191254.0
twitter,twitter_graph000115,115,train,134,3331,098aaced256bec87fc874a249f390747581853e9160b39670f1a57306d616db9,snap_twitter_tar_parser,ego-Twitter,14199378.0
twitter,twitter_graph000116,116,train,216,2779,2018b085a531322c9479cebd30cb86cd80519082168d01c592dfa7ea688e3631,snap_twitter_tar_parser,ego-Twitter,14203895.0
twitter,twitter_graph000117,117,train,227,1609,e94975db0dda783612b07dab6104151f2cc858af4161a0039f0ac341115c3f98,snap_twitter_tar_parser,ego-Twitter,14256927.0
twitter,twitter_graph000118,118,train,137,2241,bc07f59e620ab2d8979087ac781699d2aa4530fd8720dde2fecf0f35a77414f0,snap_twitter_tar_parser,ego-Twitter,14313005.0
twitter,twitter_graph000119,119,train,43,129,e6c9e99588d70d5deb0fee986c0391b2cccb80b4afb41b398797bf0094cd927e,snap_twitter_tar_parser,ego-Twitter,14327149.0
twitter,twitter_graph000120,120,train,135,1304,ec65d9fb8b041cbf3ed8bbcab26ad49a9ea2ae4c8f72cbb4dc43018662e889d6,snap_twitter_tar_parser,ego-Twitter,14332288.0
twitter,twitter_graph000121,121,train,216,2639,ab05694f502114c5c4cc1e2ef1101992175e1211cbca373205547b0e39f25bdd,snap_twitter_tar_parser,ego-Twitter,14338082.0
twitter,twitter_graph000122,122,train,234,3951,83f4567bfbfe90f2d73f56e16b6c38f99c8c789f2053993702580b5178c3df94,snap_twitter_tar_parser,ego-Twitter,14353392.0
twitter,twitter_graph000123,123,train,165,1107,8ae40e4bf33fe28c84329c5da8428227c7f85703a49d60b9d5b42a4e1819bf37,snap_twitter_tar_parser,ego-Twitter,14365883.0
twitter,twitter_graph000124,124,train,185,2310,c44d0555cf47d699799d1f402738b3b869481c948c0e273182aadb66a220a5ac,snap_twitter_tar_parser,ego-Twitter,14371740.0
twitter,twitter_graph000125,125,train,63,1002,d158d4a0745a05ccaaf5ba95492f133f2aac2887d75ee9bfa91468727da61784,snap_twitter_tar_parser,ego-Twitter,14372486.0
twitter,twitter_graph000126,126,train,157,1098,ef93df35f4f14a3200df7e28a022019bb469bec2a212f57f86ac010f41530b84,snap_twitter_tar_parser,ego-Twitter,14372763.0
twitter,twitter_graph000127,127,train,78,470,eaaac931d87e17beb07059852c7a41fa244a9ae1d70c193719d2e98c8850f682,snap_twitter_tar_parser,ego-Twitter,14404235.0
twitter,twitter_graph000128,128,train,218,1751,09a1b6646d29e6db7d4477b36bbb589e66e6391d89e81232bb81362d07cfc98a,snap_twitter_tar_parser,ego-Twitter,14422788.0
twitter,twitter_graph000129,129,train,226,2998,fd5893b985c4201275bb94bb68184b87b9eee8aa27c949156a0961bdc25f9c74,snap_twitter_tar_parser,ego-Twitter,14426892.0
twitter,twitter_graph000130,130,train,27,222,1e880513b6848a184aadc95eed62c47c95abf23a079e107c79ab16f1c004ef2a,snap_twitter_tar_parser,ego-Twitter,14505838.0
twitter,twitter_graph000131,131,train,65,408,77c72926c7a8827c015fcd9bb831d0ae2ea2614fe278f8d50363a5d55d952c58,snap_twitter_tar_parser,ego-Twitter,14521330.0
twitter,twitter_graph000132,132,train,115,1232,1795942de94659b69375f6706ad72669be5757ce729d8e3a5e3d557af8e7e97d,snap_twitter_tar_parser,ego-Twitter,14528221.0
twitter,twitter_graph000133,133,train,134,1334,d899962b9ffb7de46b5a6d906f7fd1cff0897f507664cdad0e8dad3ed6c106c3,snap_twitter_tar_parser,ego-Twitter,14550962.0
twitter,twitter_graph000134,134,train,148,728,d8c0de288777029b5fcd5500222b547cfa2d796d718c3727112075276cfb014e,snap_twitter_tar_parser,ego-Twitter,14555534.0
twitter,twitter_graph000135,135,train,76,502,ece8ffdf8bf2985dbc9f8aeae68ddd52d56a633c54065d70ad558c57f01d642f,snap_twitter_tar_parser,ego-Twitter,14618160.0
twitter,twitter_graph000136,136,train,205,1274,c2717274a33d65442777a47989d59154cf13e44a841931c18ce5187b27e649af,snap_twitter_tar_parser,ego-Twitter,14630490.0
twitter,twitter_graph000137,137,train,234,5638,0f69ba5b63a1513406c465747384189917f197cef10f2ce83ba2524941e99ea7,snap_twitter_tar_parser,ego-Twitter,14677919.0
twitter,twitter_graph000138,138,train,7,11,e12cbb72f5bfe4b735064ae7569dbb1afee4e4fc0a719ddb8db6d2506d37dfbd,snap_twitter_tar_parser,ego-Twitter,14711172.0
twitter,twitter_graph000139,139,train,94,402,f76c9821f9743a73005541e822cace24b65df3b3352e27d0b2cfc9e86148a9d1,snap_twitter_tar_parser,ego-Twitter,14719129.0
twitter,twitter_graph000140,140,train,150,1739,f60f6282a8b2d73d31a47495734dc26534dd12d3e064b261ccad8b90c653b62f,snap_twitter_tar_parser,ego-Twitter,14755105.0
twitter,twitter_graph000141,141,train,143,2927,add17757f81258114802d7a0f2fdff54c048b0557f298907370e8dbf7abbba32,snap_twitter_tar_parser,ego-Twitter,14791232.0
twitter,twitter_graph000142,142,train,224,1856,9a84413e3df2e650adf7f240ddb2cc903caa222badc11ab725a1691401c6c8f8,snap_twitter_tar_parser,ego-Twitter,14794851.0
twitter,twitter_graph000143,143,train,200,2832,212336a424171e44cebfbb5bc926f8dc08ab8e2ddb0669c62a0b1dc107760b90,snap_twitter_tar_parser,ego-Twitter,14807093.0
twitter,twitter_graph000144,144,train,91,313,157a68f31d26c3a7e9e48b15d4deeed39f90cf1736907aa1aef467b09ef1a91b,snap_twitter_tar_parser,ego-Twitter,14827526.0
twitter,twitter_graph000145,145,train,197,4878,2d9e9a734c7e113818ed96969442533d8f2c43a72d624470e3e5436ba71b8236,snap_twitter_tar_parser,ego-Twitter,14836915.0
twitter,twitter_graph000146,146,train,120,713,403579efe42dbde98f350a762581f5dbb19c90e20a63e96bcab55126941f7afd,snap_twitter_tar_parser,ego-Twitter,14838506.0
twitter,twitter_graph000147,147,train,73,692,bf8018634542520642a39f92143ce8c4caaaccceb0a6d6ab3f38a5a00c18d53f,snap_twitter_tar_parser,ego-Twitter,14840869.0
twitter,twitter_graph000148,148,train,57,587,7699ccb26a659479f0c7bfc782446fcfa91eee84e11b08eee54a62226fefef70,snap_twitter_tar_parser,ego-Twitter,14843763.0
twitter,twitter_graph000149,149,train,129,1950,411ef4f9eb7166a2109efd9caa43a16754c48e30be7870d81ba24bc0a3b20001,snap_twitter_tar_parser,ego-Twitter,14848513.0
twitter,twitter_graph000150,150,train,213,1542,9d6a83e698b0d759d8f08635daa9ec157f333cb49d4bcce805be5de6735b0a1b,snap_twitter_tar_parser,ego-Twitter,14849487.0
twitter,twitter_graph000151,151,train,202,1162,f5cad83f4bc22ddabc2058d0411171610c1a8e5926d4f1b0a4d82e23101cae86,snap_twitter_tar_parser,ego-Twitter,14869783.0
twitter,twitter_graph000152,152,train,155,1198,b1a44347cd57ae332b430fa98f827e5dd18dd83200fb556d3293d044056cd251,snap_twitter_tar_parser,ego-Twitter,14893314.0
